node,betweenness_centrality,closeness_centrality,degree_centrality
allert 0.5mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
allert p 0.25mg/20mg tablet,1.6745408863379544e-05,0.7151566249432518,0.061068702290076333
alltop 0.25mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
alltop p 0.25mg/20mg tablet,1.6745408863379544e-05,0.7151566249432518,0.061068702290076333
almac 0.25mg tablet dt,5.1476376818324204e-05,0.9656712496716,0.04580152671755725
almac 0.5mg tablet dt,5.1476376818324204e-05,0.9656712496716,0.04580152671755725
almax 0.25mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
almax 0.50mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
almazine 1mg tablet,1.052004745655686e-06,0.7050060737804488,0.030534351145038167
almazine 2.5mg tablet,1.052004745655686e-06,0.7050060737804488,0.030534351145038167
almazine 2mg tablet,4.422707264527638e-06,0.7177634576580095,0.030534351145038167
almee 0.5mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
almee 1mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
alock tp tablet,1.073315002030881e-05,0.8348095995154818,0.05343511450381679
alopam 0.25mg tablet,5.1476376818324204e-05,0.9656712496716,0.04580152671755725
alopam 0.5mg tablet,5.1476376818324204e-05,0.9656712496716,0.04580152671755725
alopam 1mg tablet,5.1476376818324204e-05,0.9656712496716,0.04580152671755725
alopram 0.5mg/10mg tablet,6.825595443939102e-05,0.9317279256442754,0.08396946564885496
alora 0.25mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
alora 0.5mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
alora 0.5mg tablet sr,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
alora 1.5mg tablet sr,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
aloyrin c 135mg/5mg tablet,5.823643848773817e-05,0.9423980856337065,0.061068702290076333
slurred speech,8.121020326835975e-05,0.3416721527320606,0.011194714626536978
skin rash,4.3035818187724166e-05,0.3406527835789725,0.012479354009910074
alp 0.25mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
alp 0.5mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
alp 0.5mg tablet sr,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
alp 1mg tablet sr,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
